"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"lids.com","https://lids.com/store/lids-tanger-pittsburgh/sd-27082742+z-9720328-189101376","Lids Tanger Pittsburgh 5858","2200 Tanger Blvd  SPC340","Washington","PA","15301","US","5858","724-222-0534","Lids","40.2164404","-80.2112921","Sun: 11:00 AM-7:00 PM; Mon: 10:00 AM-9:00 PM; Tue: 10:00 AM-9:00 PM; Wed: 10:00 AM-9:00 PM; Thu: 10:00 AM-9:00 PM; Fri: 10:00 AM-9:00 PM; Sat: 10:00 AM-9:00 PM"
"lids.com","https://lids.com/store/lids-south-hills-village/sd-16288380+z-9386657-3586919085","Lids South Hills Village 5652","301 S Hills Village SP2213A","Pittsburgh","PA","15241","US","5652","412-831-1965","Lids","40.341132","-80.053253","Sun: 11:00 AM-6:00 PM; Mon: 10:00 AM-9:00 PM; Tue: 10:00 AM-9:00 PM; Wed: 10:00 AM-9:00 PM; Thu: 10:00 AM-9:00 PM; Fri: 10:00 AM-9:00 PM; Sat: 10:00 AM-9:00 PM"
"lids.com","https://lids.com/store/macys-locker-room-by-lids-south-hills-village/sd-35018618+z-9811535-779111601","Macy's Locker Room by LIDS 2187","100 SOUTH HILLS VILLAGE","Bethel Park","PA","15241","US","2187","<MISSING>","Macy's Locker Room by LIDS","40.343425","-80.055587","Sun: 11:00 AM-6:00 PM; Mon: 10:00 AM-9:00 PM; Tue: 10:00 AM-9:00 PM; Wed: 10:00 AM-9:00 PM; Thu: 10:00 AM-9:00 PM; Fri: 10:00 AM-9:00 PM; Sat: 10:00 AM-9:00 PM"
"lids.com","https://lids.com/store/lids-morgantown/sd-1443+z-901213647-2048386065","Lids Morgantown 39","9721 Mall Rd","Morgantown","WV","26501","US","39","304-983-6150","Lids","39.6247207","-79.9922574","Sun: 11:00 AM-7:00 PM; Mon: 10:00 AM-9:00 PM; Tue: 10:00 AM-9:00 PM; Wed: 10:00 AM-9:00 PM; Thu: 10:00 AM-9:00 PM; Fri: 10:00 AM-9:00 PM; Sat: 10:00 AM-9:00 PM"
"lids.com","https://lids.com/store/macys-locker-room-by-lids-monroeville-mall/sd-35560819+z-833810-762834173","Macy's Locker Room by LIDS Monroeville Mall 2188","400 MONROEVILLE MALL","Monroeville","PA","15146","US","2188","<MISSING>","Macy's Locker Room by LIDS","40.427296","-79.791428","Sun: 11:00 AM-6:00 PM; Mon: 10:00 AM-9:00 PM; Tue: 10:00 AM-9:00 PM; Wed: 10:00 AM-9:00 PM; Thu: 10:00 AM-9:00 PM; Fri: 10:00 AM-9:00 PM; Sat: 10:00 AM-9:00 PM"
"lids.com","https://lids.com/store/locker-room-by-lids-monroeville-mall/sd-20672958+z-9833210-3560071255","Locker Room by LIDS Monroeville Mall 8173","163 Monroeville Mall SP A12","Monroeville","PA","15146","US","8173","412-373-1125","Locker Room by LIDS","40.4313133","-79.7962378","Sun: 12:00 PM-6:00 PM; Mon: 11:00 AM-8:00 PM; Tue: 11:00 AM-8:00 PM; Wed: 11:00 AM-8:00 PM; Thu: 11:00 AM-8:00 PM; Fri: 11:00 AM-8:00 PM; Sat: 11:00 AM-8:00 PM"
"lids.com","https://lids.com/store/lids-monroeville-mall/sd-72720689+z-862104-2995965751","Lids Monroeville Mall 5561","12 Monroeville Ctr SP812","Monroeville","PA","15146","US","5561","412-373-3888","Lids","40.430553","-79.792446","Sun: 12:00 PM-6:00 PM; Mon: 11:00 AM-8:00 PM; Tue: 11:00 AM-8:00 PM; Wed: 11:00 AM-8:00 PM; Thu: 11:00 AM-8:00 PM; Fri: 11:00 AM-8:00 PM; Sat: 11:00 AM-8:00 PM"
"lids.com","https://lids.com/store/lids-plaza-at-robinson-town-centre/sd-348424+z-93934476-2351929950","Lids Plaza At Robinson Town Centre 162","100 Robinson Centre Dr 2310","Pittsburgh","PA","15205","US","162","412-490-0872","Lids","40.454458","-80.157709","Sun: 11:00 AM-5:00 PM; Mon: 10:00 AM-9:00 PM; Tue: 10:00 AM-9:00 PM; Wed: 10:00 AM-9:00 PM; Thu: 10:00 AM-9:00 PM; Fri: 10:00 AM-9:00 PM; Sat: 10:00 AM-9:30 PM"
"lids.com","https://lids.com/store/macys-locker-room-by-lids-the-mall-at-robinson/sd-24013299+z-9402876-3396836250","Macy's Locker Room by LIDS 2190","3000 ROBINSONS CENTRE DRIVE","Pittsburgh","PA","15205","US","2190","<MISSING>","Macy's Locker Room by LIDS","40.456502","-80.15878","Sun: 11:00 AM-6:00 PM; Mon: 10:00 AM-9:00 PM; Tue: 10:00 AM-9:00 PM; Wed: 10:00 AM-9:00 PM; Thu: 10:00 AM-9:00 PM; Fri: 10:00 AM-9:00 PM; Sat: 10:00 AM-9:00 PM"
"lids.com","https://lids.com/store/lids-pittsburgh-intl-airport/sd-95554136+z-881658-1083389314","Lids Pittsburgh Intl Airport 6073","1000 Airport Blvd","Pittsburgh","PA","15231","US","6073","412-472-1004","Lids","40.495772","-80.241311","Sun: 7:00 AM-5:00 PM; Mon: 7:00 AM-5:00 PM; Tue: 7:00 AM-5:00 PM; Wed: 7:00 AM-5:00 PM; Thu: 7:00 AM-5:00 PM; Fri: 7:00 AM-5:00 PM; Sat: 7:00 AM-5:00 PM"
"lids.com","https://lids.com/store/macys-locker-room-by-lids-ross-park-mall/sd-35441243+z-9465161-3501458365","Macy's Locker Room by LIDS Ross Park Mall 2019","1004 Ross Park Mall Dr","Pittsburgh","PA","15237","US","2019","<MISSING>","Macy's Locker Room by LIDS","40.540622","-80.008232","Sun: 11:00 AM-6:00 PM; Mon: 10:00 AM-9:00 PM; Tue: 10:00 AM-9:00 PM; Wed: 10:00 AM-9:00 PM; Thu: 10:00 AM-9:00 PM; Fri: 10:00 AM-9:00 PM; Sat: 10:00 AM-9:00 PM"
"lids.com","https://lids.com/store/lids-ross-park-mall/sd-49112021+z-9502054-4221513906","Lids Ross Park Mall 5089","1000 Ross Park Mall Dr","Pittsburgh","PA","15237","US","5089","412-366-3720","Lids","40.5445685","-80.0087509","Sun: 11:00 AM-6:00 PM; Mon: 10:00 AM-9:00 PM; Tue: 10:00 AM-9:00 PM; Wed: 10:00 AM-9:00 PM; Thu: 10:00 AM-9:00 PM; Fri: 10:00 AM-9:00 PM; Sat: 10:00 AM-9:00 PM"
"lids.com","https://lids.com/store/lids-ohio-valley/sd-4894+z-81160974-3896848926","Lids Ohio Valley 45","67800 Mall Rd, 615","St Clairsville","OH","43950","US","45","740-699-0160","Lids","40.071083","-80.865861","Sun: 11:00 AM-6:00 PM; Mon: 10:00 AM-9:00 PM; Tue: 10:00 AM-9:00 PM; Wed: 10:00 AM-9:00 PM; Thu: 10:00 AM-9:00 PM; Fri: 10:00 AM-9:00 PM; Sat: 10:00 AM-9:00 PM"
"lids.com","https://lids.com/store/lids-meadowbrook/sd-4815+z-84491414-2310949422","Lids Meadowbrook 44","2399 Meadow Brook Rd Sp375","Bridgeport","WV","26330","US","44","304-842-0700","Lids","39.310053","-80.278443","Sun: 11:00 AM-6:00 PM; Mon: 10:00 AM-9:00 PM; Tue: 10:00 AM-9:00 PM; Wed: 10:00 AM-9:00 PM; Thu: 10:00 AM-9:00 PM; Fri: 10:00 AM-9:00 PM; Sat: 10:00 AM-9:00 PM"
"lids.com","https://lids.com/store/macys-locker-room-by-lids-southern-park-mall/sd-35274755+z-9489562-3877387812","Macy's Locker Room by LIDS 2530","7401 MARKET STREET","Youngstown","OH","44512","US","2530","<MISSING>","Macy's Locker Room by LIDS","41.021458","-80.660332","Sun: 11:00 AM-6:00 PM; Mon: 10:00 AM-9:00 PM; Tue: 10:00 AM-9:00 PM; Wed: 10:00 AM-9:00 PM; Thu: 10:00 AM-9:00 PM; Fri: 10:00 AM-9:00 PM; Sat: 10:00 AM-9:00 PM"
"lids.com","https://lids.com/store/lids-southern-park-mall/sd-94464147+z-800260-2641630622","Lids Southern Park Mall 5273","7401 Market St 305","Youngstown","OH","44512","US","5273","330-629-8234","Lids","41.021458","-80.660332","Sun: 11:00 AM-7:00 PM; Mon: 10:00 AM-9:00 PM; Tue: 10:00 AM-9:00 PM; Wed: 10:00 AM-9:00 PM; Thu: 10:00 AM-9:00 PM; Fri: 10:00 AM-9:00 PM; Sat: 9:00 AM-9:00 PM"
"lids.com","https://lids.com/store/lids-grove-city-premium-outlets/sd-28035666+z-887757-2354638828","Lids Grove City Premium Outlets 6310","1911 Lessburg-Grove City Rd","Grove City","PA","16127","US","6310","724-748-0195","Lids","41.139753","-80.157358","Sun: 10:00 AM-7:00 PM; Mon: 10:00 AM-9:00 PM; Tue: 10:00 AM-9:00 PM; Wed: 10:00 AM-9:00 PM; Thu: 10:00 AM-9:00 PM; Fri: 10:00 AM-9:00 PM; Sat: 10:00 AM-9:00 PM"
"lids.com","https://lids.com/store/lids-logan-valley-mall/sd-38473722+z-9626337-526553180","Lids Logan Valley Mall 5340","5580 Goods Ln Ste 1112","Altoona","PA","16601","US","5340","814-944-2083","Lids","40.469451","-78.408938","Sun: 12:00 PM-5:00 PM; Mon: 11:00 AM-8:00 PM; Tue: 11:00 AM-8:00 PM; Wed: 11:00 AM-8:00 PM; Thu: 11:00 AM-8:00 PM; Fri: 11:00 AM-8:00 PM; Sat: 11:00 AM-8:00 PM"
"lids.com","https://lids.com/store/macys-locker-room-by-lids-belden-village/sd-13016435+z-9893886-262768197","Macy's Locker Room by LIDS Belden Village 2182","4300 BELDEN VILLAGE AVENUE","Canton","OH","44718","US","2182","<MISSING>","Macy's Locker Room by LIDS","40.8565389","-81.4275948","Sun: 11:00 AM-6:00 PM; Mon: 10:00 AM-9:00 PM; Tue: 10:00 AM-9:00 PM; Wed: 10:00 AM-9:00 PM; Thu: 10:00 AM-9:00 PM; Fri: 10:00 AM-9:00 PM; Sat: 10:00 AM-9:00 PM"
"lids.com","https://lids.com/store/lids-belden-village/sd-38047669+z-9171506-183389105","Lids Belden Village 5493","4230 Belden Village Mall, Spk1","Canton","OH","44718","US","5493","330-244-1652","Lids","40.856921","-81.427555","Sun: 12:00 PM-6:00 PM; Mon: 11:00 AM-8:00 PM; Tue: 11:00 AM-8:00 PM; Wed: 11:00 AM-8:00 PM; Thu: 11:00 AM-8:00 PM; Fri: 11:00 AM-8:00 PM; Sat: 11:00 AM-8:00 PM"
"lids.com","https://lids.com/store/fanzz-belden-village-mall/sd-19691473+z-9280068-1790599238","Fanzz Belden Village Mall 8336","4230 Belden Village Mall Ci NW SPB1","Canton","OH","44718","US","8336","330-493-0641","Fanzz","40.8571359","-81.4278041","Sun: 12:00 PM-6:00 PM; Mon: 11:00 AM-8:00 PM; Tue: 11:00 AM-8:00 PM; Wed: 11:00 AM-8:00 PM; Thu: 11:00 AM-8:00 PM; Fri: 11:00 AM-8:00 PM; Sat: 11:00 AM-8:00 PM"
"lids.com","https://lids.com/store/lids-apple-blossom-mall/sd-2174+z-996308366-2775832579","Lids Apple Blossom Mall 97","1850 Apple Blossom Dr SPN139","Winchester","VA","22601","US","97","540-665-9004","Lids","39.183739","-78.167431","Sun: 10:00 AM-9:00 PM; Mon: 10:00 AM-9:00 PM; Tue: 10:00 AM-9:00 PM; Wed: 10:00 AM-9:00 PM; Thu: 10:00 AM-9:00 PM; Fri: 10:00 AM-9:00 PM; Sat: 10:00 AM-9:00 PM"
"lids.com","https://lids.com/store/lids-summit-mall/sd-27727522+z-9743996-3243599108","Lids Summit Mall 5580","3265 W Market St SP200","Fairlawn","OH","44333","US","5580","330-865-5885","Lids","41.134159","-81.617821","Sun: 11:00 AM-7:00 PM; Mon: 10:00 AM-9:00 PM; Tue: 10:00 AM-9:00 PM; Wed: 10:00 AM-9:00 PM; Thu: 10:00 AM-9:00 PM; Fri: 10:00 AM-9:00 PM; Sat: 10:00 AM-9:00 PM"
"lids.com","https://lids.com/store/macys-locker-room-by-lids-summit-mall/sd-35720028+z-879666-1806354243","Macy's Locker Room by LIDS Summit Mall 2506","3265 WEST MARKET STREET","Akron","OH","44333","US","2506","<MISSING>","Macy's Locker Room by LIDS","41.134159","-81.617821","Sun: 11:00 AM-6:00 PM; Mon: 10:00 AM-9:00 PM; Tue: 10:00 AM-9:00 PM; Wed: 10:00 AM-9:00 PM; Thu: 10:00 AM-9:00 PM; Fri: 10:00 AM-9:00 PM; Sat: 10:00 AM-9:00 PM"
"lids.com","https://lids.com/store/lids-hagerstown-premium-outlets/sd-28810123+z-9864175-3242746351","Lids Hagerstown Premium Outlets 6311","495 Premium Outlets Blvd  663","Hagerstown","MD","21740","US","6311","240-313-9045","Lids","39.6069966","-77.7343722","Sun: 10:00 AM-9:00 PM; Mon: 10:00 AM-9:00 PM; Tue: 10:00 AM-9:00 PM; Wed: 10:00 AM-9:00 PM; Thu: 10:00 AM-9:00 PM; Fri: 10:00 AM-9:00 PM; Sat: 10:00 AM-9:00 PM"
"lids.com","https://lids.com/store/locker-room-by-lids-beachwood-mall/sd-31356664+z-844686-263307642","Locker Room by LIDS Beachwood Mall 8208","26300 Cedar Road SP1","BEACHWOOD","OH","44122","US","8208","216-514-7904","Locker Room by LIDS","41.498555","-81.494339","Sun: 12:00 PM-6:00 PM; Mon: 11:00 AM-8:00 PM; Tue: 11:00 AM-8:00 PM; Wed: 11:00 AM-8:00 PM; Thu: 11:00 AM-8:00 PM; Fri: 11:00 AM-8:00 PM; Sat: 11:00 AM-8:00 PM"
"lids.com","https://lids.com/store/locker-room-by-lids-southpark/sd-31807890+z-9668485-1044802398","Locker Room by LIDS Southpark 8211","500 Southpark Center SP1","STRONGSVILLE","OH","44136","US","8211","440-268-9255","Locker Room by LIDS","41.3084566","-81.8202549","Sun: 12:00 PM-6:00 PM; Mon: 11:00 AM-8:00 PM; Tue: 11:00 AM-8:00 PM; Wed: 11:00 AM-8:00 PM; Thu: 11:00 AM-8:00 PM; Fri: 11:00 AM-8:00 PM; Sat: 11:00 AM-8:00 PM"
"lids.com","https://lids.com/store/macys-locker-room-by-lids-southpark/sd-35903160+z-9128644-203032454","Macy's Locker Room by LIDS Southpark 2184","17447 ROYALTON ROAD","Strongsville","OH","44136","US","2184","<MISSING>","Macy's Locker Room by LIDS","41.31298","-81.819014","Sun: 11:00 AM-6:00 PM; Mon: 10:00 AM-9:00 PM; Tue: 10:00 AM-9:00 PM; Wed: 10:00 AM-9:00 PM; Thu: 10:00 AM-9:00 PM; Fri: 10:00 AM-9:00 PM; Sat: 10:00 AM-9:00 PM"
"lids.com","https://lids.com/store/lids-southpark/sd-61593018+z-804796-3652220409","Lids Southpark 5477","500 Spark Ctr, Sp Bl 248","Strongsville","OH","44136","US","5477","440-238-8103","Lids","41.319826","-81.811505","Sun: 12:00 PM-6:00 PM; Mon: 11:00 AM-8:00 PM; Tue: 11:00 AM-8:00 PM; Wed: 11:00 AM-8:00 PM; Thu: 11:00 AM-8:00 PM; Fri: 11:00 AM-8:00 PM; Sat: 11:00 AM-8:00 PM"
